System check identified some issues:

WARNINGS:
?: (1_8.W001) The standalone TEMPLATE_* settings were deprecated in Django 1.8 and the TEMPLATES dictionary takes precedence. You must put the values of the following settings into your default TEMPLATES dict: TEMPLATE_CONTEXT_PROCESSORS.

[29/Nov/2017 15:34:28] "GET /static/bower_components/fastclick/lib/fastclick.js HTTP/1.1" 200 25965
[29/Nov/2017 15:34:28] "GET /static/bower_components/jquery-sparkline/dist/jquery.sparkline.min.js HTTP/1.1" 200 62647
[29/Nov/2017 15:34:28] "GET /static/bower_components/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 37045
[29/Nov/2017 15:34:28] "GET /static/dist/js/adminlte.min.js HTTP/1.1" 200 14422
[29/Nov/2017 15:34:28] "GET /static/bower_components/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
[29/Nov/2017 15:34:28] "GET /static/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 404 7398
[29/Nov/2017 15:34:28] "GET /static/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 404 7398
[29/Nov/2017 15:34:28] "GET /static/bower_components/jquery-slimscroll/jquery.slimscroll.min.js HTTP/1.1" 200 4724
[29/Nov/2017 15:34:28] "GET /static/bower_components/datatables.net-bs/js/dataTables.bootstrap.min.js HTTP/1.1" 200 1966
[29/Nov/2017 15:34:28] "GET /static/dist/js/pages/dashboard2.js HTTP/1.1" 200 7419
[29/Nov/2017 15:34:28] "GET /static/dist/js/demo.js HTTP/1.1" 200 17298
[29/Nov/2017 15:34:28] "GET /static/bower_components/datatables.net/js/jquery.dataTables.min.js HTTP/1.1" 200 81906
[29/Nov/2017 15:34:29] "GET /static/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 404 7398
[29/Nov/2017 15:34:29] "GET /static/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 404 7398
[29/Nov/2017 15:34:29] "GET /favicon.ico HTTP/1.1" 404 7398
[29/Nov/2017 15:34:43] "GET /rapido HTTP/1.1" 301 0
[29/Nov/2017 15:34:43] "GET /rapido/ HTTP/1.1" 200 6898
[29/Nov/2017 15:34:43] "GET /static/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 404 7398
[29/Nov/2017 15:34:43] "GET /static/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 404 7398
[29/Nov/2017 15:34:43] "GET /static/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 404 7398
[29/Nov/2017 15:34:43] "GET /static/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 404 7398
[29/Nov/2017 15:34:54] "GET /rapido/login/ HTTP/1.1" 200 8405
[29/Nov/2017 15:34:54] "GET /static/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 404 7398
[29/Nov/2017 15:34:54] "GET /static/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 404 7398
[29/Nov/2017 15:34:54] "GET /static/bower_components/bootstrap/dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
